Stand when hand is >= 4 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,1000000,390049,44757,562735,44418,47216,2711,0.390049
Stand when hand is >= 5 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,1000000,390540,45104,562265,44479,47195,2676,0.39054
Stand when hand is >= 6 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,1000000,389408,44412,562896,45047,47696,2765,0.389408
Stand when hand is >= 7 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,1000000,390355,44892,562051,45010,47594,2738,0.390355
Stand when hand is >= 8 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,1000000,391217,44944,559987,44673,48796,2834,0.391217
Stand when hand is >= 9 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,1000000,392027,44517,556896,44983,51077,2770,0.392027
Stand when hand is >= 10 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,1000000,397337,44802,549063,44838,53600,2782,0.397337
Stand when hand is >= 11 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,1000000,406111,44773,535577,44555,58312,2910,0.406111
Stand when hand is >= 12 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,1000000,420557,44704,516252,43434,63191,3760,0.420557
Stand when hand is >= 13 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,1000000,423993,45031,506313,43590,69694,4195,0.423993
Stand when hand is >= 14 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,1000000,424852,44817,498797,43011,76351,4663,0.424852
Stand when hand is >= 15 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,1000000,421017,44826,495708,42099,83275,5249,0.421017
Stand when hand is >= 16 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,1000000,415851,44769,493543,41468,90606,5754,0.415851
Stand when hand is >= 17 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,1000000,406884,44971,494995,41217,98121,6248,0.406884
Stand when hand is >= 18 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,1000000,393869,44824,521436,40710,84695,6725,0.393869
Stand when hand is >= 19 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,1000000,355713,44742,575567,40487,68720,7078,0.355713
Stand when hand is >= 20 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,1000000,289254,44856,657787,39491,52959,7662,0.289254
Stand when hand is >= 21 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,1000000,160225,44736,821752,38886,18023,8590,0.160225
Stand when hand is >= 4 & Player's hand is hard.,One deck of cards is used. The deck is reshuffled after every game.,1000000,392097,46325,563512,46170,44391,2145,0.392097
Stand when hand is >= 5 & Player's hand is hard.,One deck of cards is used. The deck is reshuffled after every game.,1000000,392330,46446,563376,46268,44294,2163,0.39233
Stand when hand is >= 6 & Player's hand is hard.,One deck of cards is used. The deck is reshuffled after every game.,1000000,392663,46297,563028,45994,44309,2156,0.392663
Stand when hand is >= 7 & Player's hand is hard.,One deck of cards is used. The deck is reshuffled after every game.,1000000,392341,46317,563364,45920,44295,2153,0.392341
Stand when hand is >= 8 & Player's hand is hard.,One deck of cards is used. The deck is reshuffled after every game.,1000000,392233,46265,562108,46406,45659,2103,0.392233
Stand when hand is >= 9 & Player's hand is hard.,One deck of cards is used. The deck is reshuffled after every game.,1000000,394713,46073,557471,46024,47816,2154,0.394713
Stand when hand is >= 10 & Player's hand is hard.,One deck of cards is used. The deck is reshuffled after every game.,1000000,398717,46169,551009,46079,50274,2148,0.398717
Stand when hand is >= 11 & Player's hand is hard.,One deck of cards is used. The deck is reshuffled after every game.,1000000,407988,46216,536969,46313,55043,2295,0.407988
Stand when hand is >= 12 & Player's hand is hard.,One deck of cards is used. The deck is reshuffled after every game.,1000000,423623,45901,516499,45027,59878,3268,0.423623
Stand when hand is >= 13 & Player's hand is hard.,One deck of cards is used. The deck is reshuffled after every game.,1000000,425847,46874,507645,44366,66508,3793,0.425847
Stand when hand is >= 14 & Player's hand is hard.,One deck of cards is used. The deck is reshuffled after every game.,1000000,426766,46276,500045,44120,73189,4200,0.426766
